permno,date,ret
11600,3/31/2014,0.016003743
11600,4/30/2014,-0.030625539
11600,5/30/2014,0.059601162
11600,6/30/2014,0.002669646
11600,7/31/2014,-0.019640978
11600,8/29/2014,0.027682114
11600,9/30/2014,-0.042736679
11600,10/31/2014,0.113377243
11600,11/28/2014,0.082922965
11600,12/31/2014,-0.029897219
11600,1/30/2015,-0.060916066
11600,2/27/2015,0.059670098
11600,3/31/2015,-0.038624767
11600,4/30/2015,0.002161537
11600,5/29/2015,0.020294115
11600,6/30/2015,-0.007927368
11600,7/31/2015,0.103976734
11600,8/31/2015,-0.079072222
11600,9/30/2015,-0.033724483
11600,10/30/2015,0.20328255
11600,11/30/2015,-0.00312241
11600,12/31/2015,0.004327376
11600,1/29/2016,-0.032210339
11600,2/29/2016,0.035150275
11600,3/31/2016,0.012262172
11600,4/29/2016,-0.032938544
11600,5/31/2016,0.042953044
11600,6/30/2016,-0.000683702
11600,7/29/2016,0.032237265
11600,8/31/2016,-0.040287349
11600,9/30/2016,-0.031768609
11600,10/31/2016,-0.031297334
11600,11/30/2016,0.010595807
11600,12/30/2016,-0.006402557
11600,1/31/2017,-0.017841656
11600,2/28/2017,0.120282181
11600,3/31/2017,-0.015625028
11600,4/28/2017,0.012812349
11600,5/31/2017,0.004427558
11600,6/30/2017,0.02215831
11600,7/31/2017,-0.043337412
11600,8/31/2017,-0.088021912
11600,9/29/2017,0.058820959
11600,10/31/2017,0.021066682
11600,11/30/2017,0.097265474
11600,12/29/2017,-0.016303541
11600,1/31/2018,-0.076257028
11600,2/28/2018,-0.078112148
11600,3/29/2018,-0.101007849
11600,4/30/2018,0.000596279
11600,5/31/2018,-0.129717886
11600,6/29/2018,0.001084206
11600,7/31/2018,0.099154674
11600,8/31/2018,-0.170234933
11600,9/28/2018,-0.052417248
11600,10/31/2018,-0.082405947
11600,11/30/2018,0.090961523
11600,12/31/2018,-0.0127713
13610,1/31/2000,-0.116719246
13610,2/29/2000,-0.102857143
13610,3/31/2000,0.145161286
13610,4/28/2000,0
13610,5/31/2000,-0.108450703
13610,6/30/2000,0.056000002
13610,7/31/2000,-0.049242426
13610,8/31/2000,0.064541832
13610,9/29/2000,-0.018939395
13610,10/31/2000,0.096525095
13610,11/30/2000,-0.013380282
13610,12/29/2000,0.277978331
13610,1/31/2001,-0.190508485
13610,2/28/2001,0.169737592
13610,3/30/2001,-0.017349428
13610,4/30/2001,-0.070622787
13610,5/31/2001,0.003166158
13610,6/29/2001,-0.096757032
13610,7/31/2001,-0.007062915
13610,8/31/2001,-0.006520532
13610,9/28/2001,-0.112318821
13610,10/31/2001,0.019047601
13610,11/30/2001,0.116154939
13610,12/31/2001,-0.023002485
13610,1/31/2002,-0.108426213
13610,2/28/2002,0.187630221
13610,3/28/2002,0.113084659
13610,4/30/2002,-0.031382989
13610,5/31/2002,0.091707923
13610,6/28/2002,0.1255081
13610,7/31/2002,-0.162528232
13610,8/30/2002,0.035040475
13610,9/30/2002,-0.137894779
13610,10/31/2002,-0.007325943
13610,11/29/2002,-0.059655599
13610,12/31/2002,0.030483766
13610,1/31/2003,0.036655989
13610,2/28/2003,0.035980094
13610,3/31/2003,0.101212129
13610,4/30/2003,-0.002751747
13610,5/30/2003,-0.014348839
13610,6/30/2003,-0.031710051
13610,7/31/2003,0.092397653
13610,8/29/2003,-0.014454027
13610,9/30/2003,-0.131246537
13610,10/31/2003,0.100505702
13610,11/28/2003,0.05743821
13610,12/31/2003,0.101592556
13610,1/30/2004,-0.049351934
13610,2/27/2004,-0.037231244
13610,3/31/2004,-0.017070455
13610,4/30/2004,-0.032492992
13610,5/28/2004,-0.035900388
13610,6/30/2004,0.071124621
13610,7/30/2004,-0.019296262
13610,8/31/2004,-0.010995445
13610,9/30/2004,0.184132665
13610,10/29/2004,-0.06499996
13610,11/30/2004,0.224064156
13610,12/31/2004,-0.02952843
13610,1/31/2005,0.011353315
13610,2/28/2005,0.129321963
13610,3/31/2005,-0.106212482
13610,4/29/2005,-0.204484284
13610,5/31/2005,0.06933488
13610,6/30/2005,-0.028236583
13610,7/29/2005,0.006030735
13610,8/31/2005,0.028882829
13610,9/30/2005,0.016595259
13610,10/31/2005,-0.05845185
13610,11/30/2005,0.087807655
13610,12/30/2005,0.022337679
13610,1/31/2006,0.041666649
13610,2/28/2006,0.034634158
13610,3/31/2006,0.021894293
13610,4/28/2006,-0.042850494
13610,5/31/2006,-0.128467172
13610,6/30/2006,0.012422429
13610,7/31/2006,-0.105967626
13610,8/31/2006,-0.049906481
13610,9/29/2006,0.021956082
13610,10/31/2006,0.126302063
13610,11/30/2006,-0.021387266
13610,12/29/2006,-0.012552246
13610,1/31/2007,0.01937044
13610,2/28/2007,0.038004782
